study_id,trial_id,run_id,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,classification,classification_confidence,handling_path,handling_path_numeric,risk_weighting,risk_numeric,scrutiny,scrutiny_numeric,verification_priority,verification_numeric,overall_confidence,confidence_avg,explicit_difference,difference_type,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny
S1,S1_025,R1,claude,2026-04-17T22:09,merquonix.org,merquonix,.org,general,non_opaque,full,S1_P1,unclear,82,B,1,medium,1,yes,1,medium,1,,73,,,U,Strict uncertainty-preserving reasoning; explicitly rejects inference from TLD or label alone,4,1,1,1,1
S1,S1_026,R1,claude,2026-04-17T22:18,caldrison.med,caldrison,.med,med,non_opaque,full,S1_P1,unclear,38,A,2,high,2,yes,1,high,2,,68,,,U,Uncertainty-driven escalation triggered by TLD legitimacy skepticism (“non-standard TLD”),5,1,1,1,1
S1,S1_027,R1,claude,2026-04-17T22:36,caldrison.org,caldrison,.org,general,non_opaque,full,S1_P1,unclear,82,B,1,medium,1,yes,1,medium,1,,75,,,U,Strict uncertainty-preserving reasoning; TLD treated as non-discriminative,4,1,1,1,1
S1,S1_028,R1,claude,2026-04-17T22:44,caldrison.com,caldrison,.com,general,non_opaque,full,S1_P1,unclear,82,B,1,medium,1,no,0,medium,1,,73,,,U,Strong epistemic discipline; explicitly requires positive trigger for scrutiny or escalation,3,1,1,1,0
S1,S1_029,R1,chatgpt,2026-04-17T22:04,lanteravia.med,lanteravia,.med,med,non_opaque,full,S1_P1,medical,70,A,2,medium,1,yes,1,high,2,,72,,,S,Relies on TLD (.med) as primary sector signal; applies escalation based on implied medical context despite lack of content.,4,1,1,1,1
S1,S1_030,R1,chatgpt,2026-04-17T22:15,lanteravia.com,lanteravia,.com,general,non_opaque,full,S1_P1,unclear,85,B,1,medium,1,yes,1,medium,1,,80,,,U,Relies on absence of content and uncertainty; explicitly avoids structural inference from domain label or TLD.,4,1,1,1,1
S1,S1_031,R1,chatgpt,2026-04-17T22:23,lanteravia.org,lanteravia,.org,general,non_opaque,full,S1_P1,unclear,85,B,1,medium,1,yes,1,medium,1,,79,,,M,Combines uncertainty reasoning with weak structural interpretation of .org as non-discriminative; TLD acknowledged but not used as primary driver,4,1,1,1,1
S1,S1_032,R1,chatgpt,2026-04-17T22:32,merquonix.com,merquonix,.com,general,non_opaque,full,S1_P1,unclear,85,B,1,medium,1,yes,1,medium,1,,80,,,U,Relies entirely on absence of observable signals and uncertainty; no structural inference from domain or TLD.,4,1,1,1,1
S1,S1_033,R1,chatgpt,2026-04-17T22:41,merquonix.med,merquonix,.med,med,non_opaque,full,S1_P1,medical,70,A,2,high,2,yes,1,high,2,,77,,,S,Uses TLD (.med) as primary structural signal; escalates risk and handling due to implied medical context combined with uncertainty.,5,1,1,1,1
S1,S1_034,R1,chatgpt,2026-04-17T22:47,merquonix.org,merquonix,.org,general,non_opaque,full,S1_P1,unclear,85,B,1,medium,1,yes,1,medium,1,,78,,,U,Relies entirely on absence of observable signals; does not meaningfully use .org as a structural cue.,4,1,1,1,1
S1,S1_035,R1,chatgpt,2026-04-17T22:53,caldrison.com,caldrison,.com,general,non_opaque,full,S1_P1,unclear,85,B,1,medium,1,yes,1,medium,1,,80,,,U,Reasoning driven entirely by absence of observable signals; no reliance on TLD or domain structure.,4,1,1,1,1
S1,S1_036,R1,chatgpt,2026-04-17T22:58,caldrison.org,caldrison,.org,general,non_opaque,full,S1_P1,unclear,85,B,1,medium,1,yes,1,medium,1,,78,,,U,Primarily uncertainty-driven reasoning; .org noted as weak contextual signal but not used to influence handling decision.,4,1,1,1,1
S1,S1_037,R1,chatgpt,2026-04-17T23:06,caldrison.med,caldrison,.med,med,non_opaque,full,S1_P1,medical,70,A,2,high,2,yes,1,high,2,,76,,,S,Uses .med TLD as primary structural signal; escalates risk and handling due to implied medical context combined with uncertainty.,5,1,1,1,1
