study_id,session_id,trial_id,run_id,sequence_order,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,retrieval_priority_1,retrieval_type_1,retrieval_purpose_1,retrieval_confidence_1,retrieval_priority_2,retrieval_type_2,retrieval_purpose_2,retrieval_confidence_2,retrieval_priority_3,retrieval_type_3,retrieval_purpose_3,retrieval_confidence_3,retrieval_priority_4,retrieval_type_4,retrieval_purpose_4,retrieval_confidence_4,retrieval_priority_5,retrieval_type_5,retrieval_purpose_5,retrieval_confidence_5,overall_retrieval_strategy,uncertainty_posture,verification_escalation,retrieval_depth_priority,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny,mentions_retrieval_sequencing,mentions_authority_checking,mentions_metadata,mentions_content_retrieval,coder_id,coding_version
study1_P1,S1,P1_011,R1,5,gemini,5/27/2026,merquonix.kids,merquonix,.kids,sector-specific,child-oriented,full_triage,S1_P1,Passive infrastructure inspection,metadata,"Query DNS registries, WHOIS records, and passive SSL/TLS certificate transparency logs to establish registration timelines, hosting-provider reputation, and associated infrastructure without direct host interaction.",85,Low-interaction network profiling,technical,"Perform isolated HTTP/HTTPS HEAD requests and robots.txt retrieval through sandboxed proxies to determine server activity, status-code behavior, and redirect patterns before full-content inspection.",90,Passive-first child-safety network sequencing,procedural,"Prioritize passive infrastructure inspection before low-interaction network profiling in order to minimize operational exposure, preserve safety when handling child-oriented namespaces, and determine whether full-content sandbox mirroring is necessary.",88,,,,,,,,,protective demographic-risk escalation,narrowed,high,metadata-first,mixed,"Strong emphasis on child-safety risk mitigation, passive infrastructure analysis, sandboxed low-interaction probing, and staged escalation before active content extraction. Frames sequencing around protecting vulnerable namespaces while incrementally reducing uncertainty and operational exposure.",8,1,1,1,1,1,0,1,1,RF,v1
study1_P1,S1,P1_012,R1,6,gemini,5/27/2026,merquonix.org,merquonix,.org,general-purpose,general,full_triage,S1_P1,Passive infrastructure and DNS telemetry retrieval,metadata,"Query passive WHOIS data, DNS records, and SSL/TLS certificate transparency logs to establish registration timelines, infrastructure footprints, and hosting context without interacting directly with the host server.",90,Low-interaction active HTTP/HTTPS probing,technical,"Perform isolated HTTP/HTTPS header requests to determine operational status, response behavior, server software, and content-type characteristics while minimizing active interaction exposure.",85,Passive-first organizational infrastructure sequencing,procedural,"Prioritize passive infrastructure telemetry before low-interaction active probing in order to minimize operational footprint, establish contextual infrastructure baselines, and safely narrow uncertainty prior to deeper analysis.",88,,,,,,,,,incremental defensive ambiguity reduction,narrowed,moderate,metadata-first,mixed,"Strong emphasis on passive infrastructure telemetry, contextual infrastructure grouping, defensive low-interaction probing, and staged uncertainty reduction prior to deeper content analysis. Maintains uncertainty-preserving posture while incrementally refining technical understanding of the domain state.",7,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_013,R1,1,gemini,5/27/2026,caldrison.com,caldrison,.com,general-purpose,general,full_triage,S1_P1,Passive namespace and infrastructure metadata retrieval,metadata,"Query WHOIS records and DNS configurations (A, AAAA, NS, MX) to establish domain age, technical footprint, and hosting context without directly interacting with the target host.",95,Passive reputation and network context retrieval,reputation,"Cross-reference the domain and associated infrastructure against passive threat intelligence sources, passive DNS history, and global blocklists to identify adversarial associations or shared-risk infrastructure.",85,Passive-first low-cost uncertainty reduction sequencing,procedural,"Prioritize passive metadata and reputation analysis before active retrieval in order to minimize operational exposure, reduce resource cost, and safely determine whether elevated isolation or deeper inspection is required.",90,,,,,,,,,defensive ambiguity-preserving escalation,narrowed,moderate,metadata-first,mixed,"Strong emphasis on passive infrastructure analysis, reputation intelligence, operational safety, and low-cost uncertainty reduction prior to active retrieval. Maintains neutral ambiguity-preserving posture while progressively refining technical and reputational context.",7,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_014,R1,2,gemini,5/27/2026,caldrison.med,caldrison,.med,sector-specific,medical,full_triage,S1_P1,Passive DNS infrastructure and registration metadata retrieval,metadata,"Query historical DNS records, passive DNS databases, and WHOIS/registration metadata to determine registrar identity, creation date, nameserver configuration, operational footprint, and possible malicious infrastructure associations without host interaction.",90,TLS/SSL certificate transparency and network reputation telemetry retrieval,reputation,"Inspect certificate transparency logs, certificate issuers, SANs, domain/IP reputation, and passive threat intelligence feeds to detect spoofing, malware/phishing associations, or infrastructure risk before active retrieval.",85,Risk-mitigating passive-first medical infrastructure sequencing,procedural,"Prioritize external passive infrastructure and reputation checks before direct HTTP interaction in order to minimize exposure, assess whether sandboxed content retrieval is safe, and reduce uncertainty in a high-stakes medical namespace.",95,,,,,,,,,zero-trust medical escalation,narrowed,high,metadata-first,mixed,"Strong emphasis on passive infrastructure profiling, network reputation telemetry, medical-sector risk, anti-analysis avoidance, sandbox readiness, and staged escalation before active content retrieval. Frames sequencing around minimizing interaction risk while resolving structural uncertainty in a high-stakes namespace.",8,1,1,1,1,1,0,1,0,RF,v1
study1_P1,S1,P1_015,R1,3,gemini,5/27/2026,caldrison.finance,caldrison,.finance,sector-specific,finance,full_triage,S1_P1,Passive infrastructure and namespace telemetry retrieval,metadata,"Query WHOIS data and DNS records (MX, TXT, A records, nameservers) to determine registration age, registrar identity, and network footprint without direct host interaction.",95,Passive reputation and certificate transparency retrieval,reputation,"Query SSL/TLS certificate transparency logs, passive DNS histories, and public security classifications to establish infrastructure history, certificate issuance patterns, and possible anomalous or isolated infrastructure behavior.",85,Zero-interaction-first financial infrastructure sequencing,procedural,"Prioritize passive infrastructure telemetry and reputation analysis before active retrieval in order to minimize exposure to hostile financial infrastructure, avoid triggering defensive cloaking, and safely determine sandboxing requirements for later content retrieval.",90,,,,,,,,,zero-trust financial escalation,narrowed,high,metadata-first,mixed,"Strong emphasis on passive infrastructure telemetry, certificate transparency analysis, financial-sector defensive handling, anti-analysis protection, and staged sandbox escalation before active retrieval. Frames sequencing around minimizing operational risk while incrementally reducing uncertainty in a high-risk financial namespace.",8,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_016,R1,4,gemini,5/27/2026,caldrison.legal,caldrison,.legal,sector-specific,legal,full_triage,S1_P1,Passive namespace and infrastructure metadata retrieval,metadata,"Query WHOIS records, DNS configurations (MX/TXT), and passive SSL/TLS history to determine registration timelines, organizational identities, and hosting footprints without interacting directly with the host server.",95,Low-interaction infrastructure probing,technical,"Inspect HTTP status codes, server headers, and SSL/TLS certificate details via standardized handshakes to determine server state, operational behavior, and infrastructure configuration before full content retrieval.",85,Passive-first legal infrastructure validation sequencing,procedural,"Prioritize passive namespace and infrastructure analysis before low-interaction probing in order to minimize exposure to unknown entities, establish operational boundaries safely, and determine whether sandbox isolation or routine queueing is appropriate.",90,,,,,,,,,defensive staged legal verification,narrowed,moderate,metadata-first,mixed,"Strong emphasis on passive infrastructure validation, registration analysis, low-interaction probing, operational-boundary mapping, and staged escalation before content-level retrieval. Maintains defensive uncertainty management while incrementally refining technical and operational understanding of the domain.",7,1,1,1,1,1,0,1,0,RF,v1
study1_P1,S1,P1_017,R1,5,gemini,5/27/2026,caldrison.kids,caldrison,.kids,sector-specific,child-oriented,full_triage,S1_P1,Passive DNS and infrastructure metadata retrieval,metadata,"Query DNS records (A, AAAA, MX, TXT/SPF), WHOIS metadata, and historical routing information to establish technical footprint, hosting context, and infrastructure associations without direct host interaction.",95,Cryptographic and security configuration retrieval,technical,"Inspect SSL/TLS certificate chains, Certificate Transparency logs, security.txt records, and DNS CAA policies to evaluate cryptographic legitimacy, security posture, and namespace alignment.",85,Machine-readable boundary file retrieval,content-structure,"Retrieve low-interaction administrative files such as robots.txt, sitemap.xml, and ads.txt to infer site structure, scraping boundaries, monetization patterns, and operational intent prior to full semantic analysis.",75,,,,,,,,,defense-in-depth child-safety sequencing,narrowed,high,metadata-first,mixed,"Strong emphasis on defense-in-depth sequencing, child-safety risk mitigation, passive infrastructure analysis, cryptographic validation, and staged low-interaction structural mapping before active content analysis. Frames sequencing around minimizing exposure while verifying administrative legitimacy and operational intent in a high-risk child-oriented namespace.",10,1,1,1,1,1,1,1,1,RF,v1
study1_P1,S1,P1_018,R1,6,gemini,5/27/2026,caldrison.org,caldrison,.org,general-purpose,general,full_triage,S1_P1,Passive technical infrastructure discovery,metadata,"Perform passive WHOIS and passive DNS lookups (A, AAAA, MX, NS, TXT) to determine registration age, hosting providers, infrastructure configuration, and possible coordinated infrastructure relationships without direct host interaction.",95,Active low-interaction telemetry,technical,"Issue isolated HTTP/HTTPS HEAD or minimal GET requests to collect server-response headers, TLS/SSL certificate metadata, and basic operational state without retrieving or analyzing full webpage content.",85,Passive-first staged organizational telemetry sequencing,procedural,"Prioritize passive infrastructure discovery before low-interaction telemetry in order to minimize operational exposure, conserve defensive resources, and determine whether escalation to full ingestion or defensive isolation is warranted.",90,,,,,,,,,incremental defensive infrastructure classification,narrowed,moderate,metadata-first,mixed,"Strong emphasis on passive infrastructure analysis, low-interaction telemetry, operational-state classification, and staged escalation before full content ingestion. Maintains uncertainty-preserving handling while progressively refining technical and infrastructural understanding of the domain.",8,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_019,R1,1,perplexity,5/27/2026,lanteravia.com,lanteravia,.com,general-purpose,general,full_triage,S1_P1,Registration metadata lookup,metadata,"Query RDAP/ICANN registration data to determine registration status, registrar identity, and recent administrative changes in order to establish basic temporal and ownership context.",90,Passive infrastructure signal inspection,technical,"Inspect nameservers, DNS records, redirects, and certificate transparency observations through non-invasive methods to determine whether the domain is parked, delegated, newly created, or part of a broader hosted infrastructure.",80,Administrative-first passive infrastructure sequencing,procedural,"Prioritize low-cost registration metadata before passive infrastructure inspection in order to reduce uncertainty efficiently, distinguish dormant versus active domains, and guide whether escalation or routine handling is appropriate.",85,,,,,,,,,incremental ambiguity reduction,narrowed,moderate,metadata-first,structural,"Strong emphasis on administrative registration context, passive infrastructure inspection, non-invasive sequencing, and low-cost uncertainty reduction prior to any active interaction or content analysis.",5,0,0,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_020,R1,2,perplexity,5/27/2026,lanteravia.med,lanteravia,.med,sector-specific,medical,full_triage,S1_P1,Passive reachability and DNS/TLS observation,technical,"Observe DNS resolution, HTTP status behavior, redirects, TLS presence, and whether the domain resolves to an active, parked, or placeholder state using the least intrusive technical checks available.",91,Registry and identity metadata observation,metadata,"Inspect registrant/organization identifiers, registrar references, certificate subject/issuer details, and minimal public metadata to evaluate whether visible identity aligns with the healthcare-oriented namespace signal.",84,Minimal surface-content inspection,content-structure,"Inspect only high-level homepage framing elements such as title, header, and footer text to determine whether the source appears healthcare-adjacent, parked, or unrelated without engaging in deeper semantic analysis.",72,,,,,,,,,namespace-conditioned healthcare verification sequencing,narrowed,high,passive-first,structural,"Strong emphasis on namespace-conditioned verification, low-interaction reachability analysis, identity alignment checks, and minimal surface inspection before semantic analysis. Preserves uncertainty while progressively narrowing operational and sector-related ambiguity in a healthcare-associated namespace.",7,0,1,1,1,1,1,1,1,RF,v1
study1_P1,S1,P1_021,R1,3,perplexity,5/27/2026,lanteravia.finance,lanteravia,.finance,sector-specific,finance,full_triage,S1_P1,Passive infrastructure metadata retrieval,metadata,"Query WHOIS-equivalent registration data, registrar details, nameserver patterns, and historical ownership indicators to establish lifecycle context and identify unusual or recent registration behavior with minimal interaction.",88,External reputation and safety indexing,reputation,"Query domain reputation systems, blacklist-oriented scanners, and threat-intelligence aggregators to determine whether the domain is already associated with known risk ecosystems or suspicious infrastructure patterns.",84,Passive-first structural financial ambiguity reduction,procedural,"Prioritize low-interaction registration analysis before reputation indexing in order to minimize assumptions, maximize structural evidence gathering, and determine whether escalation or uncertainty-preserving handling is appropriate.",90,,,,,,,,,cautious financial-context verification,narrowed,high,metadata-first,structural,"Strong emphasis on passive registration analysis, reputation indexing, uncertainty preservation, and structural evidence gathering before semantic interpretation or active interaction. Treats the finance-associated namespace cue as suggestive but insufficient for stronger assumptions.",5,0,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_022,R1,4,perplexity,5/27/2026,lanteravia.legal,lanteravia,.legal,sector-specific,legal,full_triage,S1_P1,WHOIS/RDAP domain registration lookup,metadata,"Query passive registration metadata including domain age, registrar identity, nameservers, DNS records, and privacy-protection status to establish foundational administrative and infrastructure context.",90,DNS infrastructure resolution check,technical,"Query A/AAAA/MX/nameserver records to determine whether the domain resolves, hosts mail infrastructure, or relies on third-party providers such as Cloudflare or managed hosting platforms.",85,HTTP status-only probing,technical,Issue minimal HEAD-level HTTP requests to determine whether the domain returns active responses (200/403/404/timeout) before any semantic content retrieval is attempted.,80,,,,,,,,,open-TLD legal verification escalation,narrowed,high,passive-first,structural,"Strong emphasis on passive-first legal-sector verification, infrastructure validation, and namespace reinterpretation after recognizing that .legal lacks credential restrictions unlike .law. The retrieval logic progressively escalates from administrative metadata to infrastructure resolution to minimal HTTP probing before any content analysis.",9,0,1,1,1,1,1,1,0,RF,v1
study1_P1,S1,P1_023,R1,5,perplexity,5/27/2026,lanteravia.kids,lanteravia,.kids,sector-specific,child-oriented,full_triage,S1_P1,WHOIS and domain registration metadata retrieval,metadata,"Query passive WHOIS registration data, registrar identity, registration age, registrant visibility, and nameserver configurations to establish organizational and temporal baseline context without fetching page content.",85,DNS resolution and passive HTTP header inspection,technical,"Check DNS resolution status, passive HTTP response headers, redirects, hosting provider identity, and security-header presence without rendering or semantically analyzing page content.",80,Registry compliance verification,compliance,Verify whether the domain appears in the active .kids zone file and whether registry-level compliance or suspension actions have been recorded under DotKids Foundation policy enforcement mechanisms.,75,,,,,,,,,child-safety registry-governed sequencing,narrowed,high,passive-first,structural,"Strong emphasis on passive metadata retrieval, infrastructure maturity assessment, and registry-governed compliance verification specific to the .kids namespace. The sequencing progressively reduces uncertainty regarding organizational legitimacy, operational activity, and child-safety compliance before any semantic content analysis occurs.",9,0,1,1,1,1,1,1,0,RF,v1
study1_P1,S1,P1_024,R1,6,perplexity,5/27/2026,lanteravia.org,lanteravia,.org,general-purpose,general,full_triage,S1_P1,WHOIS/RDAP domain registration metadata retrieval,metadata,"Query passive registration metadata including registration age, registrar identity, nameservers, expiration dates, and registrant visibility to establish foundational administrative and temporal context without target interaction.",85,Passive DNS and HTTP header probing,technical,"Perform minimal-interaction DNS lookups and HTTP HEAD requests to retrieve infrastructure signals such as status codes, redirects, server types, security headers, and MX records without downloading semantic page content.",80,Infrastructure-first organizational uncertainty reduction,procedural,"Prioritize passive registration analysis before minimal-interaction infrastructure probing in order to maximize uncertainty reduction per retrieval cost while preserving non-semantic, low-interaction triage constraints.",88,,,,,,,,,passive-first structural verification,narrowed,moderate,metadata-first,structural,"Strong emphasis on passive registration analysis, infrastructure-level verification, low-interaction HTTP probing, and staged uncertainty reduction before semantic analysis. Treats .org as a weak organizational namespace signal requiring infrastructure confirmation rather than trust inference.",8,0,1,1,1,1,0,1,0,RF,v1
study1_P1,S1,P1_025,R1,1,perplexity,5/27/2026,merquonix.com,merquonix,.com,general-purpose,general,full_triage,S1_P1,WHOIS/RDAP registration metadata retrieval,metadata,"Query WHOIS/RDAP registration data to identify registrar identity, creation and expiration timing, privacy shielding, and registration anomalies that help characterize domain maturity and handling posture.",90,DNS and delegation record inspection,technical,"Query A/AAAA, NS, MX, TXT, and DMARC records to determine delegation state, operational service configuration, and whether infrastructure appears parked, disposable, or actively provisioned.",85,TLS certificate and hosting reputation analysis,reputation,"Inspect TLS certificate metadata, SAN coverage, validity periods, hosting providers, and IP reputation to identify infrastructure anomalies or suspicious hosting relationships prior to content interaction.",75,,,,,,,,,passive-first infrastructure escalation sequencing,narrowed,moderate,metadata-first,structural,"Strong emphasis on passive metadata retrieval, delegation-state analysis, infrastructure reputation assessment, and staged escalation before any active content retrieval. Explicitly ties sparse or privacy-shielded infrastructure signals to continued uncertainty-preserving handling.",8,0,1,1,0,1,1,1,0,RF,v1
study1_P1,S1,P1_026,R1,2,perplexity,5/27/2026,merquonix.med,merquonix,.med,sector-specific,medical,full_triage,S1_P1,Passive registry-level confirmation,metadata,"Check delegation/registry records, RDAP/WHOIS metadata, and DNS naming patterns to confirm delegation status, registry/operator path, and basic lifecycle signals without opening the site.",92,Lightweight infrastructure signal inspection,technical,"Resolve DNS, inspect HTTP status or redirect behavior, and capture only headers or minimal fetch data to distinguish inactive, parked, redirected, or live operational states.",88,Minimal surface metadata retrieval,content-structure,"Retrieve only title tags, homepage summary text, and contact/footer metadata if the site is live to determine whether it appears healthcare-related, corporate, parked, reseller-oriented, or unrelated before deeper crawling.",81,,,,,,,,,passive-first healthcare ambiguity reduction,narrowed,high,passive-first,structural,"Strong emphasis on registry-level confirmation, lightweight infrastructure inspection, and minimal surface metadata review before content-level analysis. Treats the .med namespace as suggestive but insufficient for trust or purpose determination while still shaping health-oriented verification sequencing.",7,0,1,1,1,1,1,1,1,RF,v1
